Sample,Country,DNA_Extraction,Library_Method,Taxa,TotalReads,MappedReads,Q37Reads,UniqueReads,AvgLength,MapStats_Mean_1,MapStats_Mean_2,MapStats_Mean_3,MapStats_Mean_4,MapStats_Mean_5,MapStats_Mean_6,MapStats_Std_1,MapStats_Std_2,MapStats_Std_3,MapStats_Std_4,MapStats_Std_5,MapStats_Std_6
Hungary_18421_QG_DSL,Hungary,QG,DSL,Olsenella_sp_taxon_807,1531256,106722,89192,74758,87.5502,0.105069507,1.84E-05,0.996295796,0.544429987,0.067568557,-2829.431443,0.000587437,1.85E-05,0.003630854,0.002489486,0.000936287,1.835643021
Hungary_18421_QG_SSL,Hungary,QG,SSL,Olsenella_sp_taxon_807,4939739,291414,235334,214769,57.8918,0.097559601,1.10E-05,0.986562077,0.522363884,0.0645177,-2968.726274,0.000347229,1.12E-05,0.007684594,0.002439078,0.000553229,1.686800079
Hungary_18427_PB_DSL,Hungary,PB,DSL,Olsenella_sp_taxon_807,949368,9662,7050,6909,56.3647,0.099384619,0.00049382,0.935340365,0.413863225,0.068351512,-678.6871588,0.002077791,0.000470125,0.031800251,0.009932286,0.003251313,1.660833563
Hungary_18427_PB_SSL,Hungary,PB,SSL,Olsenella_sp_taxon_807,10185382,44315,30023,29323,47.0119,0.082912318,0.017913045,0.785313712,0.374740046,0.082853397,-1856.917986,0.001020733,0.001171607,0.016489874,0.007769254,0.001978172,1.570365114
Hungary_18427_QG_DSL,Hungary,QG,DSL,Olsenella_sp_taxon_807,2037388,46965,37453,35101,105.296,0.117163553,5.84E-05,0.63577603,0.405235086,0.063047703,-1676.681593,0.000976977,5.83E-05,0.013564129,0.006037792,0.001257757,1.695939169
Hungary_18427_QG_SSL,Hungary,QG,SSL,Olsenella_sp_taxon_807,303465,3836,2814,984,39.8415,0.108059511,0.004769812,0.741368577,0.455686045,0.06780313,-399.8168997,0.005982057,0.003533259,0.100647025,0.044996546,0.008241879,1.567413272
Niger_18393_PB_DSL,Niger,PB,DSL,Olsenella_sp_taxon_807,48321,0,0,0,0,24.42682634,0.504205054,0.502020628,0.503218304,74.2354336,0,17.04680043,0.285679646,0.288442996,0.288542744,44.14715399,0
Niger_18393_PB_SSL,Niger,PB,SSL,Olsenella_sp_taxon_807,2308,44,36,33,49.4848,0.154409701,0.009270029,0.450394093,0.716908472,0.034164321,-75.24703181,0.030742394,0.008461312,0.289054615,0.193942319,0.025962621,1.514825414
Niger_18393_QG_DSL,Niger,QG,DSL,Olsenella_sp_taxon_807,54932,2,2,2,25,0.032797484,0.076331439,0.404165928,0.599432441,26.43992811,-18.66890175,0.053095474,0.071775158,0.286802617,0.270660814,26.32525265,1.330941246
Niger_18393_QG_SSL,Niger,QG,SSL,Olsenella_sp_taxon_807,706286,22715,17342,3893,51.4007,0.105435812,0.000256168,0.987627473,0.503763486,0.06114924,-693.2476658,0.002582294,0.000251819,0.011754951,0.009202396,0.003884889,1.845312671
Niger_18398_PB_DSL,Niger,PB,DSL,Olsenella_sp_taxon_807,72142,0,0,0,0,39.24843904,0.506021056,0.49853455,0.495965286,76.59454132,0,23.35717892,0.289158421,0.291864583,0.289538985,43.20747254,0
Niger_18398_PB_SSL,Niger,PB,SSL,Olsenella_sp_taxon_807,33054,342,263,90,56.2222,0.102820971,0.006904017,0.720770177,0.650115621,0.055341361,-120.9470753,0.016220479,0.005567003,0.197155932,0.09437085,0.024795341,1.67725656
Niger_18398_QG_DSL,Niger,QG,DSL,Olsenella_sp_taxon_807,84006,2,0,0,0,12.66796835,0.499469779,0.506656166,0.497892637,42.32507086,0,9.009776877,0.287107358,0.289152824,0.288776797,22.36441336,0
Niger_18398_QG_SSL,Niger,QG,SSL,Olsenella_sp_taxon_807,76958,1250,994,285,47.5895,0.089155398,0.009883852,0.814133051,0.456308627,0.083162924,-229.574695,0.010128093,0.006507103,0.117328078,0.057795879,0.019217696,1.482299064
Niger_18400_PB_DSL,Niger,PB,DSL,Olsenella_sp_taxon_807,32956,0,0,0,0,19.70947789,0.502723169,0.497660255,0.504551999,219.7682648,0,11.3892554,0.28745208,0.289623014,0.291970745,62.70095065,0
Niger_18400_PB_SSL,Niger,PB,SSL,Olsenella_sp_taxon_807,277168,920,701,140,47.9214,0.144462348,0.002175637,0.748269253,0.667379543,0.066991152,-203.6982532,0.01449486,0.002099087,0.176726896,0.082410072,0.018206662,1.711294987
Niger_18400_QG_DSL,Niger,QG,DSL,Olsenella_sp_taxon_807,112968,7,0,0,0,24.71351937,0.499328127,0.499713589,0.499203226,66.19229551,0,21.18797774,0.287409916,0.285583318,0.290043203,53.76076098,0
Niger_18400_QG_SSL,Niger,QG,SSL,Olsenella_sp_taxon_807,118009,1319,1078,281,51.4662,0.125243596,0.001319271,0.847432727,0.63709807,0.062252045,-306.4149163,0.009604482,0.001312315,0.115836805,0.049216964,0.013198334,1.737481457
